,Name,Borough,Latitude,Longitude
0,Wakefield,BRONX,40.89470517661004,-73.8472005205491
1,Co-op City,BRONX,40.87429419303015,-73.82993910812405
2,Eastchester,BRONX,40.88755567735082,-73.82780644716419
3,Fieldston,BRONX,40.895437426903875,-73.90564259591689
4,Riverdale,BRONX,40.89083449389134,-73.91258546108577
5,Kingsbridge,BRONX,40.88168737120525,-73.90281798724611
6,Marble Hill,MANHATTAN,40.87655077879968,-73.91065965862988
7,Woodlawn,BRONX,40.898272612138086,-73.86731496814183
8,Norwood,BRONX,40.877224155994504,-73.87939073956817
9,Williamsbridge,BRONX,40.88103887819214,-73.85744642974214
10,Baychester,BRONX,40.86685810725274,-73.83579759808124
11,Pelham Parkway,BRONX,40.85741349808869,-73.85475564018006
12,City Island,BRONX,40.84724670491817,-73.7864884526742
13,Bedford Park,BRONX,40.87018516497537,-73.88551218419137
14,University Heights,BRONX,40.85572707719668,-73.91041596191317
15,Morris Heights,BRONX,40.84789792606274,-73.91967159119572
16,Fordham,BRONX,40.86099679638657,-73.8964265598163
17,East Tremont,BRONX,40.84269615786057,-73.88735617532345
18,West Farms,BRONX,40.83947505672657,-73.87774474910552
19,High  Bridge,BRONX,40.8366230107061,-73.92610209358138
20,Melrose,BRONX,40.81975437059498,-73.90942160757443
21,Mott Haven,BRONX,40.80623874935181,-73.91609987487583
22,Port Morris,BRONX,40.80166362775625,-73.91322139386142
23,Longwood,BRONX,40.815099045458254,-73.89578820094466
24,Hunts Point,BRONX,40.809729879387135,-73.88331505955298
25,Morrisania,BRONX,40.82359198585537,-73.90150648943066
26,Soundview,BRONX,40.82101219791406,-73.86574609554933
27,Clason Point,BRONX,40.806551120035934,-73.85414416189273
28,Throgs Neck,BRONX,40.815109258040096,-73.8163500215845
29,Country Club,BRONX,40.84424593694742,-73.82409926753857
30,Parkchester,BRONX,40.83793782226733,-73.8560031053579
31,Westchester Square,BRONX,40.840619496432744,-73.8421940760445
32,Van Nest,BRONX,40.84360847124722,-73.86629918075617
33,Morris Park,BRONX,40.84754906353638,-73.85040178030428
34,Belmont,BRONX,40.85727710073898,-73.88845196134812
35,Spuyten Duyvil,BRONX,40.8813949772709,-73.917190482104
36,North Riverdale,BRONX,40.9085428295067,-73.90453054908934
37,Pelham Bay,BRONX,40.85064140940339,-73.83207378240478
38,Schuylerville,BRONX,40.82657951686926,-73.82620275994081
39,Edgewater Park,BRONX,40.82198611816354,-73.81388514428627
40,Castle Hill,BRONX,40.81901437698835,-73.84802729582742
41,Olinville,BRONX,40.87137078192375,-73.86332361652784
42,Pelham Gardens,BRONX,40.862965624780024,-73.8416119483123
43,Concourse,BRONX,40.834283807338544,-73.91558941773451
44,Unionport,BRONX,40.82977429787165,-73.85053524451942
45,Edenwald,BRONX,40.88456130303736,-73.84808271877175
46,Bay Ridge,BROOKLYN,40.62580106501069,-74.03062069353821
47,Bensonhurst,BROOKLYN,40.61100890202048,-73.99517998380736
48,Sunset Park,BROOKLYN,40.64510294925433,-74.01031618527792
49,Greenpoint,BROOKLYN,40.730200984864744,-73.954240931274
50,Gravesend,BROOKLYN,40.59526001306597,-73.97347087708452
